datetime,symbol,open,high,low,close,volume,EMA_9,EMA_21,EMA_50,DEMA_9,DEMA_21
2025-07-14 02:30:00,OANDA:XAUUSD,3369.575,3374.255,3366.6,3367.61,10341.0,,,,,
2025-07-14 03:30:00,OANDA:XAUUSD,3367.74,3373.355,3364.895,3367.52,20765.0,,,,,
2025-07-14 04:30:00,OANDA:XAUUSD,3367.51,3370.245,3356.945,3358.59,28327.0,,,,,
2025-07-14 05:30:00,OANDA:XAUUSD,3358.545,3359.665,3353.87,3357.485,20854.0,,,,,
2025-07-14 06:30:00,OANDA:XAUUSD,3357.415,3359.73,3355.57,3357.205,14126.0,,,,,
2025-07-14 07:30:00,OANDA:XAUUSD,3357.145,3361.84,3353.9,3359.835,20345.0,,,,,
2025-07-14 08:30:00,OANDA:XAUUSD,3359.625,3360.485,3353.675,3357.64,15453.0,,,,,
2025-07-14 09:30:00,OANDA:XAUUSD,3357.71,3369.915,3356.665,3369.06,18330.0,,,,,
2025-07-14 10:30:00,OANDA:XAUUSD,3369.075,3375.085,3366.75,3372.13,21687.0,3363.008333333333,,,3363.008333333333,
2025-07-14 11:30:00,OANDA:XAUUSD,3372.135,3372.75,3365.44,3366.075,15562.0,3363.621666666667,,,3364.1123333333335,
2025-07-14 12:30:00,OANDA:XAUUSD,3366.18,3370.48,3364.04,3370.33,10651.0,3364.963333333334,,,3366.4292000000005,
2025-07-14 13:30:00,OANDA:XAUUSD,3370.41,3374.69,3369.94,3372.095,11245.0,3366.3896666666674,,,3368.703426666667,
2025-07-14 14:30:00,OANDA:XAUUSD,3372.18,3373.25,3363.915,3364.14,12371.0,3365.939733333334,,,3367.4307946666668,
2025-07-14 15:30:00,OANDA:XAUUSD,3364.16,3366.705,3349.385,3350.12,28696.0,3362.7757866666675,,,3361.4374784,
2025-07-14 16:30:00,OANDA:XAUUSD,3350.1,3359.06,3347.325,3355.385,38245.0,3361.2976293333345,,,3359.044456853334,
2025-07-14 17:30:00,OANDA:XAUUSD,3355.365,3356.425,3341.09,3343.13,38235.0,3357.664103466668,,,3352.9547447893347,
2025-07-14 18:30:00,OANDA:XAUUSD,3343.125,3349.735,3342.525,3345.16,23378.0,3355.1632827733347,,,3349.395139276801,
2025-07-14 19:30:00,OANDA:XAUUSD,3345.155,3349.44,3343.145,3347.83,14763.0,3353.696626218668,,,3347.908786177707,
2025-07-14 20:30:00,OANDA:XAUUSD,3347.89,3351.77,3347.48,3351.12,11428.0,3353.181300974935,,,3348.1387687471797,
2025-07-14 21:30:00,OANDA:XAUUSD,3351.125,3351.3,3347.955,3348.925,6567.0,3352.330040779948,,,3347.615006841754,
2025-07-14 22:30:00,OANDA:XAUUSD,3348.93,3350.525,3343.26,3344.305,11131.0,3350.725032623958,3358.36619047619,,3345.6689989486113,3358.36619047619
2025-07-14 23:30:00,OANDA:XAUUSD,3344.365,3345.725,3341.395,3343.755,4405.0,3349.331026099167,3357.0379004328997,,3344.1709939390566,3355.830364029909
2025-07-15 01:30:00,OANDA:XAUUSD,3343.085,3345.95,3341.55,3345.895,1630.0,3348.643820879334,3356.0249094844544,,3343.966030975379,3354.006248255876
2025-07-15 02:30:00,OANDA:XAUUSD,3345.88,3346.535,3343.92,3345.34,2918.0,3347.9830567034674,3355.0535540767764,,3343.71221343961,3352.335357134725
2025-07-15 03:30:00,OANDA:XAUUSD,3345.315,3349.515,3344.71,3347.62,7202.0,3347.9104453627738,3354.377776433433,,3344.435681679133,3351.2923449921655
2025-07-15 04:30:00,OANDA:XAUUSD,3347.635,3350.76,3346.1,3346.735,11346.0,3347.6753562902195,3353.682978575848,,3344.707474085263,3350.2464064859823
2025-07-15 05:30:00,OANDA:XAUUSD,3346.755,3352.16,3345.795,3350.975,10073.0,3348.3352850321758,3353.4367987053165,,3346.4889222617753,3350.0888423776823
2025-07-15 06:30:00,OANDA:XAUUSD,3351.055,3358.425,3350.9,3357.98,10956.0,3350.264228025741,3353.8498170048333,,3350.3302922042726,3351.181691524727
2025-07-15 07:30:00,OANDA:XAUUSD,3357.99,3361.44,3357.735,3360.26,7566.0,3352.263382420593,3354.432560913485,,3353.9155572792997,3352.5367594848894
2025-07-15 08:30:00,OANDA:XAUUSD,3360.285,3365.295,3360.285,3362.155,7879.0,3354.241705936475,3355.134600830441,,3357.146104636145,3354.049363092587
2025-07-15 09:30:00,OANDA:XAUUSD,3362.17,3364.32,3357.675,3358.265,13627.0,3355.0463647491797,3355.419182573128,,3358.0136107590797,3354.6913134866136
2025-07-15 10:30:00,OANDA:XAUUSD,3358.285,3365.185,3357.575,3364.4,10173.0,3356.9170917993442,3356.235620521026,,3360.787470247396,3356.3161376677376
2025-07-15 11:30:00,OANDA:XAUUSD,3364.33,3365.725,3356.6,3361.045,14350.0,3357.7426734394758,3356.672836837296,,3361.499441510022,3357.1435036218254
2025-07-15 12:30:00,OANDA:XAUUSD,3361.065,3364.725,3358.655,3363.435,11442.0,3358.8811387515807,3357.2875789429963,,3362.7973254577014,3358.2743142977506
2025-07-15 13:30:00,OANDA:XAUUSD,3363.475,3366.425,3361.285,3361.56,8839.0,3359.4169110012645,3357.675980857269,,3362.9784781659077,3358.9261056472938
2025-07-15 14:30:00,OANDA:XAUUSD,3361.505,3362.105,3354.18,3354.915,11921.0,3358.516528801012,3357.4249825975176,,3360.6454767725245,3358.33327944322
2025-07-15 15:30:00,OANDA:XAUUSD,3354.89,3360.675,3346.61,3348.915,31171.0,3356.59622304081,3356.651347815925,,3356.7631368098578,3356.7737678742064
2025-07-15 16:30:00,OANDA:XAUUSD,3348.945,3352.58,3334.38,3346.89,44904.0,3354.6549784326485,3355.7639525599316,,3353.2355137613577,3355.0685205620116
2025-07-15 17:30:00,OANDA:XAUUSD,3346.885,3352.245,3342.62,3347.955,38679.0,3353.314982746119,3355.054047781756,,3351.1074144598624,3353.776468894396
2025-07-15 18:30:00,OANDA:XAUUSD,3347.96,3349.89,3325.335,3329.02,39966.0,3348.4559861968955,3352.6873161652325,,3342.8027343285116,3349.374306616248
2025-07-15 19:30:00,OANDA:XAUUSD,3328.975,3330.42,3320.305,3329.32,22267.0,3344.6287889575165,3350.5630146956655,,3337.044429671306,3345.6200046788003
2025-07-15 20:30:00,OANDA:XAUUSD,3329.39,3331.4,3325.915,3328.185,12899.0,3341.3400311660134,3348.528649723332,,3332.6415375038423,3342.1855815513327
2025-07-15 21:30:00,OANDA:XAUUSD,3328.29,3331.99,3325.875,3328.87,12124.0,3338.846024932811,3346.7414997484834,,3329.8920250165115,3339.350392342258
2025-07-15 22:30:00,OANDA:XAUUSD,3328.85,3331.365,3326.59,3330.505,11504.0,3337.177819946249,3345.2654543168032,,3328.68005602396,3337.204406282344
2025-07-15 23:30:00,OANDA:XAUUSD,3330.52,3331.025,3324.935,3325.005,2605.0,3334.7432559569997,3343.4235948334576,,3325.9973936277684,3334.420951635453
2025-07-16 01:30:00,OANDA:XAUUSD,3326.32,3327.855,3325.635,3326.715,1341.0,3333.1376047656004,3341.9046316667796,,3324.8563939490955,3332.3395349716134
2025-07-16 02:30:00,OANDA:XAUUSD,3326.825,3331.805,3326.455,3331.1,2555.0,3332.73008381248,3340.922392424345,,3325.77909839678,3331.3339052083447
2025-07-16 03:30:00,OANDA:XAUUSD,3331.105,3332.73,3328.98,3330.54,9421.0,3332.2920670499843,3339.978538567587,,3326.380865307427,3330.4036830468967
2025-07-16 04:30:00,OANDA:XAUUSD,3330.555,3335.135,3328.915,3330.96,15592.0,3332.0256536399875,3339.158671425079,,3327.083561517944,3329.708923549444
2025-07-16 05:30:00,OANDA:XAUUSD,3330.955,3331.575,3325.21,3326.3,9159.0,3330.8805229119903,3337.989701295526,3350.2061,3326.0107446319576,3328.3363212908102
2025-07-16 06:30:00,OANDA:XAUUSD,3326.295,3335.17,3326.07,3334.465,9013.0,3331.5974183295925,3337.669273905024,3349.588801960784,3328.275112039648,3328.6021762730074
2025-07-16 07:30:00,OANDA:XAUUSD,3334.46,3338.7,3332.87,3338.295,9579.0,3332.9369346636745,3337.7261580954764,3349.1459077662435,3331.3507026989837,3329.535054966782
2025-07-16 08:30:00,OANDA:XAUUSD,3338.305,3340.0,3335.57,3338.195,10187.0,3333.98854773094,3337.7687800867966,3348.7164604028612,3333.5608526129995,3330.3610699619107
2025-07-16 09:30:00,OANDA:XAUUSD,3338.235,3342.19,3337.76,3339.24,10038.0,3335.038838184752,3337.902527351633,3348.34483450471,3335.536914453449,3331.2898338424975
